monthdate,facret_E_V4ind,facret_E_green_V4,facret_E_brown_V4,facret_E_V4,facret_E_green_V4ex,facret_E_brown_V4ex,facret_E_V1
2014m3,0.0002807,0.0034251,0.0207195,-0.0172944,-7.64E-06,0.0174539,-0.0044889
2014m4,-0.0012142,-0.0056626,0.0201794,-0.025842,-0.0026455,0.0232289,-0.003973
2014m5,0.0216535,0.0236534,0.0139487,0.0097047,0.0029085,-0.0085934,0.0069015
2014m6,-0.0061384,0.0190988,0.0348999,-0.0158012,-0.0073966,0.0073939,-0.0014677
2014m7,0.0197734,-0.0043842,-0.0395704,0.0351862,0.0174002,-0.0174971,0.0090911
2014m8,-0.0090341,0.0374633,0.0463156,-0.0088522,-0.0039124,-0.0005752,-0.0007161
2014m9,0.0282297,-0.008795,-0.0467458,0.0379508,0.0102967,-0.0254713,0.0140404
2014m10,-0.0012731,0.0302067,0.0061359,0.0240708,0.0043055,-0.0197911,0.0105863
2014m11,0.0336058,0.0339674,-0.0085229,0.0424904,0.0090904,-0.0341723,0.0162027
2014m12,-0.0072552,-0.0013069,0.0066107,-0.0079176,-0.000183,0.0084543,0.002628
2015m1,0.0053578,-0.0348296,-0.0329651,-0.0018644,-0.0043763,-0.0012827,0.0048504
2015m2,0.0006122,0.0641775,0.0410249,0.0231526,0.0044083,-0.0248654,0.0037558
2015m3,-0.0073892,-0.0099653,-0.014698,0.0047327,0.0005903,-0.0063624,0.0036457
2015m4,0.0102389,0.0126646,0.0173651,-0.0047005,0.0069807,0.0104168,-0.007849
2015m5,0.0229832,0.0235742,-0.0157417,0.039316,0.0093678,-0.0306591,0.0143985
2015m6,0.0008353,-0.0058407,-0.037161,0.0313203,0.0091373,-0.0217372,0.0086483
2015m7,0.0224316,0.0266705,-0.0261365,0.052807,0.0115851,-0.0414625,0.0309336
2015m8,-0.0116506,-0.0695069,-0.0425507,-0.0269562,-0.0101933,0.0219314,-0.021846
2015m9,0.0123042,-0.0324792,-0.0457831,0.0133039,0.0015433,-0.0119524,0.0101737
2015m10,0.0245072,0.0761251,0.0839349,-0.0078098,0.0003225,0.0063388,0.0013932
2015m11,0.0016717,0.0114749,-0.004464,0.0159389,0.0053181,-0.008358,0.0081053
2015m12,0.0177174,-0.0107734,-0.0458042,0.0350308,0.01146,-0.0244699,0.0147366
2016m1,-0.0037835,-0.0792768,-0.0387352,-0.0405416,-0.0183033,0.0206474,-0.0032453
2016m2,-0.002655,-0.0138374,0.0136148,-0.0274522,-0.012964,0.0156748,-0.0033334
2016m3,-0.0030593,0.0624776,0.0812719,-0.0187944,-0.0088365,0.0145392,-0.0184938
2016m4,-0.0120668,0.0318632,0.026175,0.0056882,0.0220057,0.0168682,-0.0165425
2016m5,0.0038645,0.0163845,0.0042331,0.0121513,-0.0024876,-0.015438,0.0160326
2016m6,-0.0039176,-0.0124609,0.0264795,-0.0389404,-0.0109276,0.0261825,-0.0143013
2016m7,-0.00103,0.0425566,0.0144668,0.0280898,0.0009525,-0.0231987,0.0075803
2016m8,-0.008542,0.0071265,0.0025514,0.0045752,0.0017078,-0.003605,-0.0021824
2016m9,-0.0007121,-0.0032366,0.0032077,-0.0064443,-0.0074304,0.0006523,0.0001808
2016m10,0.0083188,-0.0234911,-0.0197246,-0.0037664,-0.0023421,0.000457,0.0010938
2016m11,-0.0181774,0.0737347,0.0574955,0.0162393,0.0219814,0.0140416,-0.0116955
2016m12,0.017019,0.0254107,0.0204512,0.0049595,0.0062434,0.002073,-0.0009642
2017m1,-0.0161132,0.0244376,0.0081664,0.0162713,0.002737,-0.0116495,0.0029806
2017m2,0.02286,0.0405318,0.0127282,0.0278036,0.0007235,-0.0227225,0.017318
2017m3,-0.0000344,-0.0076451,-0.001901,-0.0057441,-0.0100225,-0.0046518,0.0028855
2017m4,0.0022225,0.0106195,-0.0007534,0.0113729,-0.0022672,-0.0128411,0.0084794
2017m5,0.0122917,0.0015883,-0.0007836,0.0023719,-0.0110426,-0.0124345,0.0073968
2017m6,-0.0033786,0.0360008,-0.0000302,0.036031,0.0260519,-0.006806,0.0093824
2017m7,0.0005092,0.0265907,0.0128352,0.0137555,0.0053334,-0.0062318,0.0002887
2017m8,-0.0013964,-0.0007744,-0.0101421,0.0093676,-0.0043992,-0.0116282,0.0098584
2017m9,-0.0232843,0.0225687,0.0445182,-0.0219495,-0.004736,0.0204849,-0.0134156
2017m10,0.0120293,0.0138373,0.0194867,-0.0056494,-0.0120656,-0.0030414,0.0009155
2017m11,0.0011929,0.0284433,0.0282444,0.0001989,-0.0044235,-0.0032475,-0.0002401
2017m12,0.0040264,0.0114813,0.0159613,-0.00448,0.0003758,0.0057982,-0.0026357
2018m1,-0.0185391,0.0669138,0.0279434,0.0389705,0.0056572,-0.0290317,0.0185095
2018m2,-0.0122101,-0.035259,-0.04951,0.0142509,0.0018633,-0.0113227,0.0100949
2018m3,-0.0248808,-0.0347246,-0.0065175,-0.0282071,-0.0120273,0.0196845,-0.0125552
2018m4,-0.0145753,0.0127806,0.0132647,-0.0004841,0.0083625,0.0101743,-0.0045251
2018m5,-0.009385,0.01791,0.0274831,-0.0095731,-0.013469,-0.0013831,-0.001175
2018m6,0.012256,0.0136254,0.0069282,0.0066972,0.0068434,-0.0008651,-0.0001093
2018m7,0.0038613,0.0273472,0.028042,-0.0006948,-0.0066623,-0.0056196,0.0018997
2018m8,-0.0039512,0.0380811,0.0173862,0.0206949,0.0008866,-0.0193903,0.0139565
2018m9,0.0054492,-0.0022774,0.0020098,-0.0042872,-0.0044466,0.0020512,-0.0005156
2018m10,0.0570632,-0.056816,-0.0927692,0.0359532,0.0203384,-0.0147616,0.0058989
2018m11,-0.001169,0.029766,0.0189698,0.0107961,0.0127896,0.000817,0.0116899
2018m12,0.0007194,-0.0994325,-0.0967127,-0.0027198,-0.0106295,-0.008617,-0.000634
2019m1,-0.0181792,0.0863195,0.0858677,0.0004518,0.0024762,0.0055768,-0.0044492
2019m2,0.0012797,0.0308765,0.0312046,-0.0003281,-0.0049063,-0.0028691,0.0042579
2019m3,-0.0014192,-0.0025968,0.0165105,-0.0191073,-0.0152875,0.0041672,0.0009298
2019m4,0.0083441,0.044326,0.0345655,0.0097605,0.0026482,-0.0058814,0.0018136
2019m5,0.0251381,-0.0462256,-0.0857117,0.0394862,0.0201305,-0.0198127,0.0153326
2019m6,0.0079968,0.0685364,0.0754407,-0.0069043,0.0009589,0.0117834,-0.0005135
2019m7,-0.0189423,0.0137683,0.000654,0.0131143,0.0012813,-0.0115401,0.0080667
2019m8,0.0225291,-0.0221827,-0.0344249,0.0122422,0.0023384,-0.0100168,0.0102949
2019m9,-0.0048315,0.0022746,0.0290233,-0.0267487,-0.0112771,0.0156769,-0.018282
2019m10,0.0019175,0.0303854,0.0044702,0.0259152,0.0093608,-0.0151651,0.0112821
2019m11,-0.0135381,0.0460514,0.0258593,0.0201922,0.0080909,-0.012389,0.0163954
2019m12,-0.0019625,0.0239691,0.0359398,-0.0119706,-0.0033666,0.008927,-0.0139052
2020m1,0.0056207,-0.0094458,-0.029501,0.0200552,-0.0111305,-0.0285268,0.0277692
2020m2,-0.0021569,-0.0737777,-0.0999293,0.0261516,0.0023324,-0.0259908,0.0117672
2020m3,0.0571698,-0.1220385,-0.1881216,0.0660831,0.0043667,-0.0585306,0.0274536
2020m4,-0.0035807,0.1337129,0.1294722,0.0042408,0.0089028,-0.0086627,-0.0353699
2020m5,-0.0226126,0.0570597,0.0517482,0.0053115,0.0035192,-0.0086521,0.0150508
2020m6,0.003887,0.0017368,0.0114862,-0.0097494,-0.0203843,-0.0164066,0.0045366
2020m7,0.0188184,0.0586715,0.0454706,0.0132009,0.005415,-0.0154915,0.0206887
2020m8,0.0255194,0.0665449,0.0416256,0.0249193,-0.0058523,-0.0376823,0.0198269
2020m9,0.0014122,-0.0305663,-0.0298056,-0.0007607,0.0024501,0.0069373,0.003751
2020m10,-0.0460759,-0.0287537,-0.0027766,-0.0259771,-0.0099964,0.0193484,-0.0112139
2020m11,-0.0237946,0.1346463,0.1428349,-0.0081886,0.0127862,0.0155993,-0.0050357
2020m12,-0.0007872,0.0556421,0.0390911,0.016551,0.0095989,-0.0122498,-0.0041704
